,RID
2566,1152
2567,1152
2568,1154
2569,1154
2570,1155
2571,1155
2572,1155
2573,1155
2574,1155
2575,1157
2576,1157
2577,1157
2578,1157
2579,1161
2580,1161
2581,1164
2582,1164
2583,1164
2584,1165
2585,1165
2586,1165
2587,1165
2588,1165
2589,1168
2590,1168
2591,1168
2592,1168
2593,1169
2594,1169
2595,1169
2596,1169
2597,1169
2598,1170
2599,1170
2600,1170
2601,1171
2602,1171
2603,1171
2604,1171
2605,1175
2606,1175
2607,1175
2608,1175
2609,1182
2610,1182
2611,1182
2612,1182
2613,1182
2614,1182
2615,1183
2616,1183
2617,1183
2618,1184
2619,1185
2620,1185
2621,1186
2622,1186
2623,1186
2624,1186
2625,1186
2626,1187
2627,1187
2628,1187
2629,1187
2630,1187
2631,1188
2632,1188
2633,1188
2634,1188
2635,1188
2636,1188
2637,1190
2638,1190
2639,1190
2640,1190
2641,1191
2642,1192
2643,1194
2644,1194
2645,1194
2646,1194
2647,1194
2648,1195
2649,1195
2650,1195
2651,1195
2652,1197
2653,1197
2654,1197
2655,1197
2656,1199
2657,1200
2658,1200
2659,1200
2660,1201
2661,1201
2662,1202
2663,1202
2664,1202
2665,1202
2666,1202
2667,1203
2668,1203
2669,1203
2670,1203
2671,1204
2672,1204
2673,1205
2674,1205
2675,1205
2676,1205
2677,1206
2678,1206
2679,1206
2680,1206
2681,1206
2682,1209
2683,1209
2684,1209
2685,1209
2686,1210
2687,1211
2688,1211
2689,1211
2690,1212
2691,1212
2692,1213
2693,1213
2694,1213
2695,1213
2696,1213
2697,1215
2698,1215
2699,1215
2700,1215
2701,1217
2702,1217
2703,1217
2704,1217
2705,1218
2706,1218
2707,1218
2708,1218
2709,1221
2710,1221
2711,1221
2712,1221
2713,1222
2714,1222
2715,1222
2716,1222
2717,1222
2718,1224
2719,1224
2720,1224
2721,1224
2722,1224
2723,1224
2724,1225
2725,1225
2726,1225
2727,1225
2728,1226
2729,1226
2730,1226
2731,1226
2732,1226
2733,1227
2734,1227
2735,1227
2736,1227
2737,1227
2738,1231
2739,1231
2740,1232
2741,1232
2742,1232
2743,1232
2744,1232
2745,1240
2746,1240
2747,1240
2748,1240
2749,1240
2750,1241
2751,1241
2752,1241
2753,1242
2754,1242
2755,1242
2756,1243
2757,1243
2758,1243
2759,1244
2760,1244
2761,1245
2762,1245
2763,1246
2764,1246
2765,1246
2766,1246
2767,1246
2768,1247
2769,1247
2770,1247
2771,1247
2772,1247
2773,1248
2774,1249
2775,1249
2776,1249
2777,1249
2778,1249
2779,1250
2780,1250
2781,1250
2782,1251
2783,1251
2784,1251
2785,1251
2786,1253
2787,1253
2788,1254
2789,1254
2790,1254
2791,1255
2792,1255
2793,1255
2794,1256
2795,1256
2796,1256
2797,1257
2798,1260
2799,1260
2800,1260
2801,1260
2802,1260
2803,1260
2804,1261
2805,1261
2806,1261
2807,1261
2808,1261
2809,1262
2810,1262
2811,1262
2812,1263
2813,1265
2814,1265
2815,1265
2816,1265
2817,1265
2818,1267
2819,1267
2820,1267
2821,1267
2822,1268
2823,1268
2824,1268
2825,1268
2826,1268
2827,1269
2828,1269
2829,1269
2830,1269
2831,1269
2832,1271
2833,1271
2834,1271
2835,1271
2836,1275
2837,1275
2838,1275
2839,1276
2840,1276
2841,1276
2842,1277
2843,1277
2844,1277
2845,1279
2846,1279
2847,1279
2848,1279
2849,1279
2850,1280
2851,1280
2852,1280
2853,1280
2854,1280
2855,1281
2856,1281
2857,1281
2858,1281
2859,1282
2860,1282
2861,1282
2862,1282
2863,1282
2864,1282
2865,1283
2866,1283
2867,1283
